Date,Close
1/2/2018,201.07
1/3/2018,205.05
1/4/2018,205.63
1/5/2018,209.99
1/8/2018,212.05
1/9/2018,209.31
1/10/2018,212.52
1/11/2018,217.24
1/12/2018,221.23
1/16/2018,221.53
1/17/2018,217.5
1/18/2018,220.33
1/19/2018,220.46
1/22/2018,227.58
1/23/2018,250.29
1/24/2018,261.3
1/25/2018,269.7
1/26/2018,274.6
1/29/2018,284.59
1/30/2018,278.8
1/31/2018,270.3
2/1/2018,265.07
2/2/2018,267.43
2/5/2018,254.26
2/6/2018,265.72
2/7/2018,264.56
2/8/2018,250.1
2/9/2018,249.47
2/12/2018,257.95
2/13/2018,258.27
2/14/2018,266
2/15/2018,280.27
2/16/2018,278.52
2/20/2018,278.55
2/21/2018,281.04
2/22/2018,278.14
2/23/2018,285.93
2/26/2018,294.16
2/27/2018,290.61
2/28/2018,291.38
3/1/2018,290.39
3/2/2018,301.05
3/5/2018,315
3/6/2018,325.22
3/7/2018,321.16
3/8/2018,317
3/9/2018,331.44
3/12/2018,321.3
3/13/2018,315.88
3/14/2018,321.55
3/15/2018,321.09
3/16/2018,318.45
3/19/2018,313.48
3/20/2018,317.5
3/21/2018,316.48
3/22/2018,306.7
3/23/2018,300.94
3/26/2018,320.35
3/27/2018,300.69
3/28/2018,285.77
3/29/2018,295.35
4/2/2018,280.29
4/3/2018,283.67
4/4/2018,288.94
4/5/2018,293.97
4/6/2018,288.85
4/9/2018,289.93
4/10/2018,298.07
4/11/2018,303.67
4/12/2018,309.25
4/13/2018,311.65
4/16/2018,307.78
4/17/2018,336.06
4/18/2018,334.52
4/19/2018,332.7
4/20/2018,327.77
4/23/2018,318.69
4/24/2018,307.02
4/25/2018,305.76
4/26/2018,313.98
4/27/2018,311.76
4/30/2018,312.46
5/1/2018,313.3
5/2/2018,313.36
5/3/2018,311.69
5/4/2018,320.09
5/7/2018,326.26
5/8/2018,326.89
5/9/2018,330.3
5/10/2018,329.6
5/11/2018,326.46
5/14/2018,328.53
5/15/2018,326.13
5/16/2018,328.19
5/17/2018,325.22
5/18/2018,324.18
5/21/2018,331.82
5/22/2018,331.62
5/23/2018,344.72
5/24/2018,349.29
5/25/2018,351.29
5/29/2018,349.73
5/30/2018,353.54
5/31/2018,351.6
6/1/2018,359.93
6/4/2018,361.81
6/5/2018,365.8
6/6/2018,367.45
6/7/2018,361.4
6/8/2018,360.57
6/11/2018,361.45
6/12/2018,363.83
6/13/2018,379.93
6/14/2018,392.87
6/15/2018,391.98
6/18/2018,390.4
6/19/2018,404.98
6/20/2018,416.76
6/21/2018,415.44
6/22/2018,411.09
6/25/2018,384.48
6/26/2018,399.39
6/27/2018,390.39
6/28/2018,395.42
6/29/2018,391.43
7/2/2018,398.18
7/3/2018,390.52
7/5/2018,398.39
7/6/2018,408.25
7/9/2018,418.97
7/10/2018,415.63
7/11/2018,418.65
7/12/2018,413.5
7/13/2018,395.8
7/16/2018,400.48
7/17/2018,379.48
7/18/2018,375.13
7/19/2018,364.23
7/20/2018,361.05
7/23/2018,362.66
7/24/2018,357.32
7/25/2018,362.87
7/26/2018,363.09
7/27/2018,355.21
7/30/2018,334.96
7/31/2018,337.45
8/1/2018,338.38
8/2/2018,344.5
8/3/2018,343.09
8/6/2018,350.92
8/7/2018,351.83
8/8/2018,347.61
8/9/2018,349.36
8/10/2018,345.87
8/13/2018,341.31
8/14/2018,337.49
8/15/2018,326.4
8/16/2018,322.44
8/17/2018,316.78
8/20/2018,327.73
8/21/2018,338.02
8/22/2018,344.44
8/23/2018,339.17
8/24/2018,358.82
8/27/2018,364.58
8/28/2018,368.49
8/29/2018,368.04
8/30/2018,370.98
8/31/2018,367.68
9/4/2018,363.6
9/5/2018,341.18
9/6/2018,346.46
9/7/2018,348.68
9/10/2018,348.41
9/11/2018,355.93
9/12/2018,369.95
9/13/2018,368.15
9/14/2018,364.56
9/17/2018,350.35
9/18/2018,367.65
9/19/2018,366.96
9/20/2018,365.36
9/21/2018,361.19
9/24/2018,369.61
9/25/2018,369.43
9/26/2018,377.88
9/27/2018,380.71
9/28/2018,374.13
10/1/2018,381.43
10/2/2018,377.14
10/3/2018,377.05
10/4/2018,363.65
10/5/2018,351.35
10/8/2018,349.1
10/9/2018,355.71
10/10/2018,325.89
10/11/2018,321.1
10/12/2018,339.56
10/15/2018,333.13
10/16/2018,346.4
10/17/2018,364.7
10/18/2018,346.71
10/19/2018,332.67
10/22/2018,329.54
10/23/2018,333.16
10/24/2018,301.83
10/25/2018,312.87
10/26/2018,299.83
10/29/2018,284.84
10/30/2018,285.81
10/31/2018,301.78
11/1/2018,317.38
11/2/2018,309.1
11/5/2018,315.44
11/6/2018,310.84
11/7/2018,327.5
11/8/2018,317.92
11/9/2018,303.47
11/12/2018,294.07
11/13/2018,294.4
11/14/2018,286.73
11/15/2018,290.06
11/16/2018,286.21
11/19/2018,270.6
11/20/2018,266.98
11/21/2018,262.13
11/23/2018,258.82
11/26/2018,261.43
11/27/2018,266.63
11/28/2018,282.65
11/29/2018,288.75
11/30/2018,286.13
12/3/2018,290.3
12/4/2018,275.33
12/6/2018,282.88
12/7/2018,265.14
12/10/2018,269.7
12/11/2018,265.32
12/12/2018,274.88
12/13/2018,276.02
12/14/2018,266.84
12/17/2018,262.8
12/18/2018,270.94
12/19/2018,266.77
12/20/2018,260.58
12/21/2018,246.39
12/24/2018,233.88
12/26/2018,253.67
12/27/2018,255.57
12/28/2018,256.08
12/31/2018,267.66
1/2/2019,267.66
1/3/2019,271.2
1/4/2019,297.57
1/7/2019,315.34
1/8/2019,320.27
1/9/2019,319.96
1/10/2019,324.66
1/11/2019,337.59
1/14/2019,332.94
1/15/2019,354.64
1/16/2019,351.39
1/17/2019,353.19
1/18/2019,339.1
1/22/2019,325.16
1/23/2019,321.99
1/24/2019,326.67
1/25/2019,338.05
1/28/2019,335.66
1/29/2019,328.9
1/30/2019,340.66
1/31/2019,339.5
2/1/2019,339.85
2/4/2019,351.34
2/5/2019,355.81
2/6/2019,352.19
2/7/2019,344.71
2/8/2019,347.57
2/11/2019,345.73
2/12/2019,359.97
2/13/2019,351.77
2/14/2019,359.07
2/15/2019,356.87
2/19/2019,361.92
2/20/2019,359.91
2/21/2019,356.97
2/22/2019,363.02
2/25/2019,363.91
2/26/2019,364.97
2/27/2019,362.87
2/28/2019,358.1
3/1/2019,357.32
3/4/2019,351.04
3/5/2019,354.3
3/6/2019,359.61
3/7/2019,352.6
3/8/2019,349.6
3/11/2019,358.86
3/12/2019,356.27
3/13/2019,361.21
3/14/2019,358.82
3/15/2019,361.46
3/18/2019,363.44
3/19/2019,358.78
3/20/2019,375.22
3/21/2019,377.87
3/22/2019,361.01
3/25/2019,366.23
3/26/2019,359.97
3/27/2019,353.37
3/28/2019,354.61
3/29/2019,356.56
4/1/2019,366.96
4/2/2019,367.72
4/3/2019,369.75
4/4/2019,367.88
4/5/2019,365.49
4/8/2019,361.41
4/9/2019,364.71
4/10/2019,363.92
4/11/2019,367.65
4/12/2019,351.14
4/15/2019,348.87
4/16/2019,359.46
4/17/2019,354.74
4/18/2019,360.35
4/22/2019,377.34
4/23/2019,381.89
4/24/2019,374.23
4/25/2019,368.33
4/26/2019,374.85
4/29/2019,371.83
4/30/2019,370.54
5/1/2019,378.81
5/2/2019,379.06
5/3/2019,385.03
5/6/2019,378.67
5/7/2019,370.46
5/8/2019,364.37
5/9/2019,362.75
5/10/2019,361.04
5/13/2019,345.26
5/14/2019,345.61
5/15/2019,354.99
5/16/2019,359.31
5/17/2019,354.45
5/20/2019,348.11
5/21/2019,354.27
5/22/2019,359.73
5/23/2019,352.21
5/24/2019,354.39
5/28/2019,354.78
5/29/2019,349.19
5/30/2019,351.85
5/31/2019,343.28
6/3/2019,336.63
6/4/2019,353.4
6/5/2019,355.73
6/6/2019,357.13
6/7/2019,360.87
6/10/2019,352.01
6/11/2019,351.27
6/12/2019,345.56
6/13/2019,343.43
6/14/2019,339.73
6/17/2019,350.62
6/18/2019,357.12
6/19/2019,363.52
6/20/2019,365.21
6/21/2019,369.21
6/24/2019,371.04
6/25/2019,360.3
6/26/2019,362.2
6/27/2019,370.02
6/28/2019,367.32
7/1/2019,374.6
7/2/2019,375.43
7/3/2019,381.72
7/5/2019,380.55
7/8/2019,376.16
7/9/2019,379.93
7/10/2019,381
7/11/2019,379.5
7/12/2019,373.25
7/15/2019,366.6
7/16/2019,365.99
7/17/2019,362.44
7/18/2019,325.21
7/19/2019,315.1
7/22/2019,310.62
7/23/2019,307.3
7/24/2019,317.94
7/25/2019,326.46
7/26/2019,335.78
7/29/2019,332.7
7/30/2019,325.93
7/31/2019,322.99
8/1/2019,319.5
8/2/2019,318.83
8/5/2019,307.63
8/6/2019,310.1
8/7/2019,304.29
8/8/2019,315.9
8/9/2019,308.93
8/12/2019,310.83
8/13/2019,312.28
8/14/2019,299.11
8/15/2019,295.76
8/16/2019,302.8
8/19/2019,309.38
8/20/2019,298.99
8/21/2019,297.81
8/22/2019,296.93
8/23/2019,291.44
8/26/2019,294.98
8/27/2019,291.03
8/28/2019,291.77
8/29/2019,296.78
8/30/2019,293.75
9/3/2019,289.29
9/4/2019,291.52
9/5/2019,293.25
9/6/2019,290.17
9/9/2019,294.34
9/10/2019,287.99
9/11/2019,288.27
9/12/2019,288.86
9/13/2019,294.15
9/16/2019,294.29
9/17/2019,298.6
9/18/2019,291.56
9/19/2019,286.6
9/20/2019,270.75
9/23/2019,265.92
9/24/2019,254.59
9/25/2019,264.75
9/26/2019,263.31
9/27/2019,263.08
9/30/2019,267.62
10/1/2019,269.58
10/2/2019,268.03
10/3/2019,268.15
10/4/2019,272.79
10/7/2019,274.46
10/8/2019,270.72
10/9/2019,267.53
10/10/2019,280.48
10/11/2019,282.93
10/14/2019,285.53
10/15/2019,284.25
10/16/2019,286.28
10/17/2019,293.35
10/18/2019,275.3
10/21/2019,278.05
10/22/2019,266.69
10/23/2019,271.27
10/24/2019,271.5
10/25/2019,276.82
10/28/2019,281.86
10/29/2019,281.21
10/30/2019,291.45
10/31/2019,287.41
11/1/2019,286.81
11/4/2019,292.86
11/5/2019,288.03
11/6/2019,288.59
11/7/2019,289.57
11/8/2019,291.57
11/11/2019,294.18
11/12/2019,292.01
11/13/2019,283.11
11/14/2019,289.62
11/15/2019,295.03
11/18/2019,302.57
11/19/2019,302.6
11/20/2019,305.16
11/21/2019,311.69
11/22/2019,310.48
11/25/2019,315.55
11/26/2019,312.49
11/27/2019,315.93
11/29/2019,314.66
12/2/2019,309.99
12/3/2019,306.16
12/4/2019,304.32
12/5/2019,302.86
12/6/2019,307.35
12/9/2019,302.5
12/10/2019,293.12
12/11/2019,298.93
12/12/2019,298.44
12/13/2019,298.5
12/16/2019,304.21
12/17/2019,315.48
12/18/2019,320.8
12/19/2019,332.22
12/20/2019,336.9
12/23/2019,333.1
12/24/2019,333.2
12/26/2019,332.63
12/27/2019,329.09
12/30/2019,323.31
12/31/2019,323.57
1/2/2020,329.81
1/3/2020,325.9
1/6/2020,335.83
1/7/2020,330.75
1/8/2020,339.26
1/9/2020,335.66
1/10/2020,329.05
1/13/2020,338.92
1/14/2020,338.69
1/15/2020,339.07
1/16/2020,338.62
1/17/2020,339.67
1/21/2020,338.11
1/22/2020,326
1/23/2020,349.6
1/24/2020,353.16
1/27/2020,342.88
1/28/2020,348.52
1/29/2020,343.16
1/30/2020,347.74
1/31/2020,345.09
2/3/2020,358
2/4/2020,369.01
2/5/2020,369.67
2/6/2020,366.95
2/7/2020,366.77
2/10/2020,371.07
2/11/2020,373.69
2/12/2020,380.01
2/13/2020,381.4
2/14/2020,380.4
2/18/2020,387.78
2/19/2020,386.19
2/20/2020,386
2/21/2020,380.07
2/24/2020,368.7
2/25/2020,360.09
2/26/2020,379.24
2/27/2020,371.71
2/28/2020,369.03
3/2/2020,381.05
3/3/2020,368.77
3/4/2020,383.79
3/5/2020,372.78
3/6/2020,368.97
3/9/2020,346.49
3/10/2020,364.13
3/11/2020,349.92
3/12/2020,315.25
3/13/2020,336.3
3/16/2020,298.84
3/17/2020,319.75
3/18/2020,315.47
3/19/2020,332.03
3/20/2020,332.83
3/23/2020,360.27
3/24/2020,357.32
3/25/2020,342.39
3/26/2020,362.99
3/27/2020,357.12
3/30/2020,370.96
3/31/2020,375.5
4/1/2020,364.08
4/2/2020,370.08
4/3/2020,361.76
4/6/2020,379.96
4/7/2020,372.28
4/8/2020,371.12
4/9/2020,370.72
4/13/2020,396.72
4/14/2020,413.55
4/15/2020,426.75
4/16/2020,439.17
4/17/2020,422.96
4/20/2020,437.49
4/21/2020,433.83
4/22/2020,421.42
4/23/2020,426.7
4/24/2020,424.99
4/27/2020,421.38
4/28/2020,403.83
4/29/2020,411.89
4/30/2020,419.85
5/1/2020,415.27
5/4/2020,428.15
5/5/2020,424.68
5/6/2020,434.26
5/7/2020,436.53
5/8/2020,435.55
5/11/2020,440.52
5/12/2020,431.82
5/13/2020,438.27
5/14/2020,441.95
5/15/2020,454.19
5/18/2020,452.58
5/19/2020,451.04
5/20/2020,447.67
5/21/2020,436.25
5/22/2020,429.32
5/26/2020,414.77
5/27/2020,419.89
5/28/2020,413.44
5/29/2020,419.73
6/1/2020,425.92
6/2/2020,427.31
6/3/2020,421.97
6/4/2020,414.33
6/5/2020,419.6
6/8/2020,419.49
6/9/2020,434.05
6/10/2020,434.48
6/11/2020,425.56
6/12/2020,418.07
6/15/2020,425.5
6/16/2020,436.13
6/17/2020,447.77
6/18/2020,449.87
6/19/2020,453.72
6/22/2020,468.04
6/23/2020,466.26
6/24/2020,457.85
6/25/2020,465.91
6/26/2020,443.4
6/29/2020,447.24
6/30/2020,455.04
7/1/2020,485.64
7/2/2020,476.89
7/6/2020,493.81
7/7/2020,493.16
7/8/2020,502.78
7/9/2020,507.76
7/10/2020,548.73
7/13/2020,525.5
7/14/2020,524.88
7/15/2020,523.26
7/16/2020,527.39
7/17/2020,492.99
7/20/2020,502.41
7/21/2020,490.1
7/22/2020,489.82
7/23/2020,477.58
7/24/2020,480.45
7/27/2020,495.65
7/28/2020,488.51
7/29/2020,484.48
7/30/2020,485.8
7/31/2020,488.88
8/3/2020,498.62
8/4/2020,509.64
8/5/2020,502.11
8/6/2020,509.08
8/7/2020,494.73
8/10/2020,483.38
8/11/2020,466.93
8/12/2020,475.47
8/13/2020,481.33
8/14/2020,482.68
8/17/2020,482.35
8/18/2020,491.87
8/19/2020,484.53
8/20/2020,497.9
8/21/2020,492.31
8/24/2020,488.81
8/25/2020,490.58
8/26/2020,547.53
8/27/2020,526.27
8/28/2020,523.89
8/31/2020,529.56
9/1/2020,556.55
9/2/2020,552.84
9/3/2020,525.75
9/4/2020,516.05
9/8/2020,507.02
9/9/2020,500.19
9/10/2020,480.67
9/11/2020,482.03
9/14/2020,476.26
9/15/2020,495.99
9/16/2020,483.86
9/17/2020,470.2
9/18/2020,469.96
9/21/2020,487.35
9/22/2020,491.17
9/23/2020,470.61
9/24/2020,473.08
9/25/2020,482.88
9/28/2020,490.65
9/29/2020,493.48
9/30/2020,500.03
10/1/2020,527.51
10/2/2020,503.06
10/5/2020,520.65
10/6/2020,505.87
10/7/2020,534.66
10/8/2020,531.79
10/9/2020,539.44
